3.33   2000.
 
   1500.0000000      4.1897473      0.2574437
   1000.0000000      4.1156216      0.2666207
    300.0000000      3.9328423      0.3967278
    200.0000000      3.8377304      0.4757270
    150.0000000      3.7692716      0.5324647
    100.0000000      3.6626577      0.6747810
     60.0000000      3.4152429      0.9053769
     50.0000000      3.2786653      0.9929836
     35.0000000      2.9406779      1.1116743
     25.0000000      2.5418172      1.1580160
     20.0000000      2.1987474      1.0953155
     18.0000000      2.0214720      0.9221725
     12.0000000      2.2412350      0.9134873
      9.6999998      1.6079352      0.9487829
      9.0000000      1.3888488      0.6756121
      7.0000000      1.7132202      0.1650614
      5.0000000      1.8529217      0.1512515
      3.4000001      1.8747556      0.1510213
      2.2000000      1.8642389      0.1464300
      1.6500000      1.8476180      0.1460904
      1.2500000      1.8309587      0.1475403
      0.7000000      1.7925357      0.1626335
      0.5500000      1.7748508      0.1745226
      0.4340000      1.7547801      0.1903731
      0.4000000      1.7464256      0.1960634
      0.3300000      1.7241048      0.2065337
      0.2800000      1.7047678      0.2109530
      0.2600000      1.6931428      0.2072609
      0.2400000      1.6862689      0.1910877
      0.2175000      1.7054530      0.1653570
      0.2000000      1.7472985      0.1560079
      0.1900000      1.7820300      0.1588135
      0.1700000      1.8884585      0.2151828
      0.1600000      1.9453188      0.2982398
      0.1500000      1.9599512      0.4367747
      0.1400000      1.8795891      0.5557300
      0.1300000      1.8092581      0.6172032
      0.1200000      1.7426469      0.6855312
