3.5  1500.

 5000.000 3.432000 0.01544627
 4513.842 3.432000 0.01693776
 4074.954 3.432000 0.01828422
 3678.740 3.432000 0.01949978
 3321.050 3.432000 0.02059714
 2998.139 3.432000 0.02158780
 2706.625 3.432000 0.02248214
 2443.456 3.432000 0.02328952
 2205.875 3.432000 0.02401839
 1991.394 3.432000 0.02479130
 1797.768 3.432000 0.02797065
 1622.968 3.432000 0.03084086
 1465.164 3.432000 0.03381334
 1322.704 3.432000 0.03771200
 1194.096 3.432000 0.04131267
 1077.992 3.432000 0.04608454
 973.1769 3.431911 0.05118102
 878.5535 3.431595 0.05785198
 793.1303 3.431310 0.06387431
 716.0130 3.431053 0.06931108
 646.3939 3.430732 0.07800650
 583.5441 3.430418 0.08687776
 526.8051 3.430134 0.09488645
 475.5830 3.429267 0.1067435
 429.3414 3.427880 0.1220333
 387.5958 3.426628 0.1358364
 349.9093 3.425497 0.1482975
 315.8871 3.424477 0.1595469
 285.1729 3.422369 0.1771214
 257.4450 3.419319 0.2001632
 232.4133 3.416565 0.2209646
 209.8154 3.414080 0.2397434
 189.4147 3.409613 0.2656622
 170.9976 3.403719 0.2965660
 154.3712 3.398399 0.3244651
 139.3615 3.386149 0.3676306
 125.8111 3.372327 0.4132681
 113.5783 3.359850 0.4544682
 102.5349 3.348586 0.4916624
 92.56529 3.318492 0.5513012
 83.56503 3.285191 0.6131631
 75.43987 3.255127 0.6690100
 68.10473 3.214247 0.7265183
 61.48280 3.141737 0.7968101
 55.50473 3.076277 0.8602673
 50.10792 3.017182 0.9175544
 45.23585 2.892370 0.9640309
 40.83749 2.778233 1.005881
 36.86680 2.675194 1.043662
 33.28218 2.582173 1.077770
 30.04610 2.498196 1.108561
 27.12468 2.358409 1.119926
 24.48730 2.218675 1.120412
 22.10636 2.045343 1.085174
 19.95693 1.887219 1.050636
 18.01648 1.709203 0.8566977
 16.26471 1.716412 0.6174978
 14.68327 1.877478 0.4847843
 13.25559 2.067952 0.6154368
 11.96673 1.988682 0.8825123
 10.80319 1.677328 0.9865894
 9.752774 1.313888 0.8802707
 8.804497 1.126528 0.4885154
 7.948422 1.224152 0.1650062
 7.175584 1.421226 0.07669402
 6.477891 1.521866 0.05342425
 5.848035 1.582574 0.04950223
 5.279422 1.618396 0.04580624
 4.766095 1.645356 0.04330466
 4.302680 1.663893 0.04194685
 3.884324 1.678699 0.04068405
 3.506645 1.687512 0.03945660
 3.165689 1.694686 0.03799702
 2.857884 1.699954 0.03662555
 2.580007 1.703775 0.03548278
 2.329149 1.707224 0.03445113
 2.102682 1.709487 0.03354046
 1.898235 1.710582 0.03279109
 1.713667 1.711636 0.03215829
 1.547044 1.712686 0.03163800
 1.396623 1.713413 0.03118160
 1.260827 1.713957 0.03076335
 1.138235 1.714000 0.03053329
 1.027562 1.714000 0.03033851
 0.9276509 1.714000 0.03015254
 0.8374539 1.714000 0.02996865
 0.7560269 1.714440 0.02979326
 0.6825172 1.715399 0.02963408
 0.6161550 1.717131 0.02949704
 0.5562453 1.718824 0.02937294
 0.5021607 1.721995 0.02925519
 0.4533348 1.725843 0.02915603
 0.4092564 1.730843 0.02906083
 0.3694637 1.738107 0.02889168
 0.3335402 1.749041 0.02869155
 0.3011096 1.761571 0.02844832
 0.2718322 1.782077 0.02811206
 0.2454015 1.809898 0.02712760
 0.2215407 1.858994 0.02993442
 0.2000000 1.925000 0.05316000
