0.5 1500.

1500	1.348732	8.8972431e-03
1000	1.352848	1.4044447e-02
300	1.374058	4.5121815e-02
200	1.373858	4.9859587e-02
150	1.372385	5.8657009e-02
100	1.322107	5.4458544e-02
60	1.313122	6.5492779e-02
50	1.308032	7.0334688e-02
35.0	1.289768	8.0634646e-02
25	1.268242	9.1859430e-02
20	1.242034	9.8225981e-02
18	1.221519	9.0051793e-02
12	1.238139	8.3593212e-02
9.7	1.180039	0.1071998
9.0	1.150822	7.9942875e-02
7.0	1.177194	2.8032761e-02
5.0	1.186458	2.6128190e-02
3.4	1.186898	2.6961038e-02
2.2	1.182700	2.7902264e-02
1.65	1.181018	2.8365349e-02
1.25	1.180293	3.3042639e-02
0.70	1.179247	4.0279955e-02
0.55	1.179744	4.2382073e-02
0.434	1.181905	4.3573733e-02
0.4	1.183609	4.3933429e-02
0.33	1.184890	4.4307929e-02
0.28	1.184127	4.6447709e-02
0.26	1.182137	4.9486630e-02
0.24	1.177366	5.6482021e-02
0.2175	1.158051	6.3900441e-02
0.2	1.148026	5.4441269e-02
0.19	1.148641	4.8753254e-02
0.17	1.155882	4.5419864e-02
0.16	1.163304	4.7708943e-02
0.15	1.174587	6.0446795e-02
0.14	1.162823	7.1808025e-02
0.13	1.165605	7.5068302e-02
0.12	1.168014	8.5187331e-02
