Computation of isochrones : age = 5.00E+06

Metallicity : Z = 0.02 , no overshooting
 ST       L         R        Teff     Mass    Bol    BC     B-V    V-R    V-I    Mu     Mv     Mb     Mr     Mi     Mj     Mh     Mk     Ml  flag  check

 M6   3.970E-02  6.625E-01   3023.   0.100   8.25  -4.51   2.03   2.07   4.43  16.13  12.76  14.78  10.68   8.33   6.33   5.66   5.29   4.92   0     1
 M6   7.699E-02  8.052E-01   3235.   0.200   7.53  -3.32   1.82   1.51   3.42  13.93  10.85  12.68   9.34   7.43   5.64   5.02   4.70   4.41   0     0
 M4   1.211E-01  9.167E-01   3429.   0.300   7.04  -2.27   1.57   1.15   2.64  12.14   9.32  10.89   8.16   6.68   5.28   4.66   4.40   4.19   0     0
 M2   1.777E-01  1.004E+00   3622.   0.400   6.63  -1.62   1.50   0.99   2.12  10.95   8.25   9.75   7.26   6.12   5.01   4.35   4.14   3.97   0     0
 M1   2.465E-01  1.085E+00   3760.   0.500   6.27  -1.36   1.46   0.93   1.91  10.31   7.64   9.09   6.71   5.72   4.72   4.04   3.86   3.71   0     0
 M0   3.235E-01  1.162E+00   3870.   0.600   5.98  -1.18   1.42   0.89   1.77   9.80   7.16   8.57   6.26   5.38   4.46   3.79   3.62   3.49   0     0
 M0   4.219E-01  1.263E+00   3971.   0.700   5.69  -1.08   1.38   0.87   1.69   9.37   6.77   8.15   5.90   5.07   4.19   3.53   3.38   3.25   0     0
 K7   4.960E-01  1.310E+00   4062.   0.800   5.51  -0.99   1.35   0.84   1.63   9.07   6.51   7.86   5.66   4.88   4.04   3.38   3.24   3.12   0     0
 K7   5.928E-01  1.379E+00   4158.   0.900   5.32  -0.88   1.30   0.80   1.53   8.65   6.19   7.49   5.39   4.67   3.87   3.23   3.11   2.99   0     0
 K6   7.032E-01  1.451E+00   4245.   1.000   5.13  -0.79   1.24   0.77   1.44   8.28   5.92   7.16   5.15   4.48   3.71   3.08   2.96   2.86   0     0
 K6   8.290E-01  1.523E+00   4327.   1.100   4.95  -0.72   1.18   0.73   1.35   7.92   5.67   6.85   4.94   4.32   3.54   2.93   2.82   2.71   0     0
 K5   9.778E-01  1.594E+00   4411.   1.200   4.77  -0.67   1.14   0.70   1.30   7.61   5.44   6.58   4.74   4.15   3.37   2.77   2.67   2.56   0     0
 K5   1.159E+00  1.666E+00   4500.   1.300   4.59  -0.63   1.10   0.68   1.25   7.31   5.22   6.32   4.54   3.97   3.21   2.62   2.51   2.41   0     0
 K4   1.385E+00  1.743E+00   4604.   1.400   4.40  -0.58   1.06   0.65   1.18   6.96   4.98   6.03   4.33   3.79   3.04   2.46   2.36   2.27   0     0
 K4   1.669E+00  1.829E+00   4713.   1.500   4.19  -0.50   0.99   0.60   1.09   6.50   4.70   5.68   4.10   3.60   2.89   2.34   2.25   2.16   0     0
 K3   2.031E+00  1.925E+00   4825.   1.600   3.98  -0.46   0.94   0.56   1.04   6.11   4.44   5.37   3.88   3.40   2.73   2.21   2.12   2.04   0     0
 K2   2.567E+00  2.048E+00   4963.   1.700   3.73  -0.41   0.89   0.53   0.98   5.66   4.13   5.02   3.61   3.15   2.53   2.03   1.95   1.88   0     0
 K1   3.348E+00  2.209E+00   5107.   1.800   3.44  -0.36   0.85   0.49   0.92   5.19   3.80   4.64   3.30   2.88   2.29   1.82   1.73   1.67   0     0
 K0   4.703E+00  2.450E+00   5284.   1.900   3.07  -0.31   0.81   0.46   0.86   4.63   3.38   4.19   2.92   2.52   1.98   1.53   1.45   1.39   0     0
 G8   7.735E+00  2.866E+00   5531.   2.000   2.53  -0.25   0.74   0.42   0.81   3.80   2.78   3.52   2.36   1.97   1.50   1.09   1.03   0.97   0     0
 F3   2.407E+01  3.373E+00   6787.   2.200   1.30  -0.12   0.36   0.24   0.48   1.79   1.41   1.78   1.17   0.94   0.74   0.56   0.53   0.49   0     0
 A0   3.529E+01  2.112E+00   9530.   2.500   0.88  -0.35  -0.01   0.00  -0.02   1.19   1.23   1.22   1.23   1.25   1.26   1.26   1.27   1.27   0     0
 B9   5.648E+01  1.957E+00  11116.   2.700   0.37  -0.65  -0.07  -0.01  -0.08   0.75   1.02   0.95   1.03   1.09   1.19   1.22   1.25   1.28   0     0
 B8   7.786E+01  1.997E+00  11915.   3.000   0.02  -0.78  -0.09  -0.02  -0.09   0.44   0.80   0.71   0.82   0.89   1.03   1.07   1.11   1.14   0     0
 B7   1.393E+02  2.180E+00  13111.   3.500  -0.61  -1.04  -0.11  -0.02  -0.09  -0.09   0.43   0.31   0.45   0.52   0.72   0.77   0.82   0.85   0     0
 B6   2.280E+02  2.350E+00  14280.   4.000  -1.14  -1.28  -0.13  -0.03  -0.09  -0.50   0.13   0.00   0.16   0.23   0.46   0.51   0.61   0.59   0     0
 B5   5.235E+02  2.705E+00  16357.   5.000  -2.05  -1.61  -0.16  -0.04  -0.12  -1.23  -0.44  -0.60  -0.40  -0.32  -0.06   0.01   0.11   0.09   0     0
 B4   1.006E+03  3.044E+00  18247.   6.000  -2.76  -1.92  -0.18  -0.06  -0.15  -1.76  -0.84  -1.02  -0.77  -0.68  -0.39  -0.31  -0.22  -0.21   0     0
 B3   1.745E+03  3.380E+00  20160.   7.000  -3.35  -2.16  -0.20  -0.08  -0.17  -2.21  -1.19  -1.40  -1.12  -1.02  -0.69  -0.60  -0.51  -0.49   0     0
