Computation of isochrones : age = 3.00E+06

Metallicity : Z = 0.02 , no overshooting
 ST       L         R        Teff     Mass    Bol    BC     B-V    V-R    V-I    Mu     Mv     Mb     Mr     Mi     Mj     Mh     Mk     Ml  flag  check

 M6   7.525E-02  9.741E-01   2948.   0.100   7.56  -4.95   2.10   2.28   4.81  15.98  12.51  14.61  10.22   7.70   5.62   4.94   4.54   4.14   0     1
 M6   1.320E-01  1.108E+00   3172.   0.200   6.95  -3.66   1.88   1.68   3.72  13.77  10.61  12.50   8.94   6.90   5.05   4.41   4.08   3.76   0     0
 M4   1.816E-01  1.150E+00   3394.   0.300   6.60  -2.44   1.59   1.20   2.77  11.90   9.04  10.63   7.84   6.27   4.81   4.20   3.93   3.71   0     0
 M2   2.600E-01  1.229E+00   3606.   0.400   6.21  -1.65   1.51   0.99   2.15  10.57   7.86   9.37   6.87   5.72   4.59   3.93   3.72   3.55   0     0
 M1   3.562E-01  1.313E+00   3758.   0.500   5.87  -1.37   1.46   0.93   1.91   9.92   7.24   8.70   6.31   5.33   4.32   3.64   3.46   3.31   0     0
 M0   4.654E-01  1.400E+00   3882.   0.600   5.58  -1.17   1.41   0.89   1.76   9.38   6.75   8.16   5.86   4.99   4.07   3.40   3.23   3.10   0     0
 M0   6.204E-01  1.533E+00   3993.   0.700   5.27  -1.06   1.37   0.86   1.68   8.92   6.33   7.70   5.47   4.65   3.78   3.12   2.97   2.84   0     0
 K7   7.116E-01  1.567E+00   4091.   0.800   5.12  -0.96   1.34   0.83   1.60   8.61   6.08   7.41   5.25   4.48   3.66   3.00   2.87   2.75   0     0
 K7   8.481E-01  1.645E+00   4180.   0.900   4.93  -0.85   1.28   0.79   1.50   8.21   5.78   7.06   4.99   4.27   3.49   2.85   2.73   2.62   0     0
 K6   9.971E-01  1.722E+00   4262.   1.000   4.75  -0.77   1.23   0.76   1.42   7.86   5.52   6.75   4.77   4.10   3.33   2.71   2.59   2.48   0     0
 K6   1.155E+00  1.798E+00   4330.   1.100   4.59  -0.71   1.18   0.73   1.35   7.55   5.31   6.49   4.58   3.96   3.18   2.57   2.46   2.35   0     0
 K5   1.335E+00  1.873E+00   4401.   1.200   4.44  -0.67   1.15   0.71   1.30   7.28   5.11   6.26   4.40   3.81   3.03   2.43   2.33   2.22   0     0
 K5   1.532E+00  1.948E+00   4466.   1.300   4.29  -0.64   1.12   0.69   1.27   7.05   4.93   6.05   4.24   3.67   2.90   2.30   2.20   2.10   0     0
 K5   1.747E+00  2.017E+00   4536.   1.400   4.14  -0.61   1.09   0.67   1.23   6.81   4.76   5.85   4.09   3.53   2.77   2.18   2.08   1.98   0     0
 K4   2.002E+00  2.098E+00   4600.   1.500   4.00  -0.58   1.06   0.65   1.19   6.57   4.58   5.64   3.93   3.39   2.63   2.06   1.96   1.86   0     0
 K4   2.290E+00  2.182E+00   4673.   1.600   3.85  -0.53   1.01   0.62   1.13   6.25   4.38   5.39   3.77   3.25   2.52   1.97   1.87   1.78   0     0
 K3   2.629E+00  2.267E+00   4739.   1.700   3.70  -0.49   0.97   0.59   1.08   5.95   4.19   5.16   3.60   3.11   2.40   1.87   1.77   1.69   0     0
 K3   3.026E+00  2.363E+00   4812.   1.800   3.55  -0.46   0.94   0.57   1.04   5.69   4.01   4.95   3.44   2.96   2.29   1.76   1.67   1.59   0     0
 K3   3.511E+00  2.469E+00   4886.   1.900   3.39  -0.43   0.91   0.54   1.01   5.42   3.82   4.73   3.28   2.81   2.16   1.65   1.56   1.49   0     0
 K2   4.124E+00  2.592E+00   4961.   2.000   3.21  -0.41   0.89   0.53   0.98   5.15   3.62   4.51   3.09   2.64   2.01   1.52   1.43   1.36   0     0
 K1   6.110E+00  2.936E+00   5147.   2.200   2.78  -0.35   0.84   0.49   0.91   4.49   3.13   3.97   2.65   2.23   1.65   1.18   1.10   1.04   0     0
 G7   1.861E+01  4.184E+00   5697.   2.500   1.58  -0.22   0.68   0.40   0.77   2.70   1.80   2.48   1.40   1.02   0.59   0.21   0.15   0.10   0     0
 F1   4.666E+01  4.264E+00   7128.   2.700   0.58  -0.10   0.32   0.20   0.42   1.02   0.68   0.99   0.47   0.25   0.12  -0.02  -0.05  -0.08   0     0
 B9   7.675E+01  2.444E+00  10727.   3.000   0.04  -0.58  -0.06  -0.01  -0.07   0.40   0.62   0.56   0.63   0.68   0.76   0.79   0.81   0.84   0     0
 B7   1.409E+02  2.190E+00  13109.   3.500  -0.62  -1.03  -0.11  -0.02  -0.09  -0.10   0.41   0.30   0.44   0.51   0.71   0.76   0.81   0.84   0     0
 B6   2.280E+02  2.340E+00  14319.   4.000  -1.14  -1.28  -0.13  -0.03  -0.09  -0.50   0.14   0.01   0.17   0.23   0.47   0.52   0.61   0.60   0     0
 B5   5.209E+02  2.680E+00  16438.   5.000  -2.04  -1.62  -0.16  -0.05  -0.12  -1.22  -0.42  -0.58  -0.38  -0.30  -0.04   0.03   0.13   0.11   0     0
 B4   9.945E+02  2.990E+00  18356.   6.000  -2.74  -1.94  -0.18  -0.07  -0.15  -1.73  -0.80  -0.99  -0.74  -0.65  -0.35  -0.27  -0.18  -0.17   0     0
 B3   1.711E+03  3.303E+00  20346.   7.000  -3.33  -2.18  -0.21  -0.08  -0.18  -2.17  -1.15  -1.36  -1.07  -0.98  -0.64  -0.55  -0.46  -0.44   0     0
