Computation of isochrones : age = 1.00E+07

Metallicity : Z = 0.02 , no overshooting
 ST       L         R        Teff     Mass    Bol    BC     B-V    V-R    V-I    Mu     Mv     Mb     Mr     Mi     Mj     Mh     Mk     Ml  flag  check

 M6   1.788E-02  4.220E-01   3075.   0.100   9.12  -4.21   1.98   1.93   4.18  16.62  13.33  15.30  11.39   9.15   7.20   6.55   6.19   5.83   0     0
 M5   4.367E-02  5.812E-01   3290.   0.200   8.15  -3.01   1.74   1.40   3.19  14.16  11.16  12.89   9.76   7.97   6.29   5.67   5.37   5.10   0     0
 M3   7.395E-02  6.930E-01   3475.   0.300   7.58  -2.06   1.56   1.10   2.48  12.41   9.64  11.19   8.54   7.16   5.86   5.23   4.99   4.79   0     0
 M2   1.104E-01  7.772E-01   3640.   0.400   7.14  -1.59   1.50   0.98   2.09  11.43   8.73  10.23   7.75   6.64   5.53   4.87   4.66   4.50   0     0
 M1   1.538E-01  8.457E-01   3764.   0.500   6.78  -1.36   1.45   0.93   1.91  10.82   8.14   9.59   7.21   6.24   5.23   4.55   4.37   4.23   0     0
 M0   2.024E-01  9.115E-01   3862.   0.600   6.48  -1.19   1.42   0.89   1.78  10.32   7.67   9.09   6.78   5.90   4.97   4.30   4.13   4.00   0     0
 M0   2.611E-01  9.876E-01   3952.   0.700   6.21  -1.10   1.39   0.87   1.71   9.91   7.31   8.70   6.44   5.60   4.71   4.04   3.89   3.76   0     0
 M0   3.182E-01  1.042E+00   4047.   0.800   5.99  -1.01   1.36   0.85   1.64   9.57   7.00   8.36   6.16   5.37   4.52   3.86   3.71   3.59   0     0
 K7   3.912E-01  1.109E+00   4153.   0.900   5.77  -0.88   1.30   0.80   1.53   9.12   6.65   7.95   5.85   5.12   4.32   3.68   3.55   3.44   0     0
 K6   4.845E-01  1.182E+00   4276.   1.000   5.54  -0.76   1.22   0.75   1.41   8.61   6.30   7.52   5.54   4.89   4.12   3.49   3.38   3.27   0     0
 K5   6.114E-01  1.261E+00   4409.   1.100   5.28  -0.67   1.14   0.70   1.30   8.12   5.95   7.10   5.25   4.66   3.88   3.28   3.18   3.07   0     0
 K5   8.082E-01  1.345E+00   4582.   1.200   4.98  -0.59   1.07   0.66   1.20   7.59   5.57   6.64   4.92   4.37   3.61   3.04   2.94   2.84   0     0
 K3   1.125E+00  1.446E+00   4805.   1.300   4.62  -0.46   0.94   0.57   1.05   6.78   5.09   6.03   4.52   4.04   3.36   2.83   2.74   2.66   0     0
 K2   1.679E+00  1.588E+00   5068.   1.400   4.19  -0.37   0.86   0.50   0.93   5.98   4.56   5.41   4.06   3.62   3.02   2.55   2.46   2.39   0     0
 K0   2.889E+00  1.837E+00   5403.   1.500   3.60  -0.28   0.78   0.44   0.83   5.02   3.88   4.66   3.44   3.05   2.54   2.11   2.03   1.98   0     0
 G2   5.818E+00  2.217E+00   5861.   1.600   2.84  -0.20   0.62   0.37   0.73   3.69   3.03   3.65   2.67   2.31   1.94   1.62   1.57   1.52   0     0
 F2   1.101E+01  2.214E+00   6896.   1.700   2.15  -0.11   0.35   0.23   0.46   2.62   2.25   2.60   2.03   1.80   1.62   1.46   1.43   1.40   0     0
 F0   9.097E+00  1.787E+00   7333.   1.800   2.35  -0.10   0.28   0.17   0.38   2.78   2.45   2.73   2.28   2.07   1.94   1.82   1.79   1.76   0     0
 A7   1.254E+01  1.797E+00   7948.   1.900   2.00  -0.12   0.18   0.10   0.25   2.40   2.13   2.31   2.03   1.88   1.75   1.67   1.64   1.61   0     0
 A3   1.713E+01  1.686E+00   8903.   2.000   1.67  -0.19   0.07   0.02   0.06   1.97   1.86   1.93   1.84   1.80   1.72   1.71   1.70   1.69   0     0
 A0   2.309E+01  1.701E+00   9568.   2.200   1.34  -0.36  -0.01   0.00  -0.02   1.65   1.70   1.69   1.70   1.72   1.73   1.74   1.74   1.75   0     0
 B9   3.812E+01  1.806E+00  10507.   2.500   0.80  -0.54  -0.05  -0.01  -0.06   1.14   1.34   1.29   1.35   1.40   1.47   1.49   1.51   1.53   0     0
 B9   5.149E+01  1.882E+00  11096.   2.700   0.47  -0.64  -0.07  -0.01  -0.07   0.85   1.11   1.05   1.13   1.19   1.29   1.32   1.35   1.37   0     0
 B9   7.749E+01  1.999E+00  11895.   3.000   0.03  -0.78  -0.09  -0.02  -0.09   0.45   0.80   0.72   0.82   0.89   1.03   1.07   1.11   1.14   0     0
 B7   1.397E+02  2.200E+00  13041.   3.500  -0.61  -1.02  -0.11  -0.02  -0.09  -0.10   0.41   0.30   0.43   0.50   0.70   0.75   0.80   0.83   0     0
 B6   2.295E+02  2.391E+00  14190.   4.000  -1.15  -1.26  -0.13  -0.03  -0.09  -0.52   0.11  -0.02   0.14   0.20   0.44   0.49   0.58   0.57   0     0
 B5   5.335E+02  2.786E+00  16209.   5.000  -2.07  -1.58  -0.15  -0.04  -0.12  -1.27  -0.49  -0.64  -0.44  -0.37  -0.11  -0.04   0.06   0.04   0     0
 B4   1.043E+03  3.173E+00  17966.   6.000  -2.80  -1.87  -0.18  -0.06  -0.15  -1.83  -0.92  -1.10  -0.86  -0.78  -0.48  -0.41  -0.31  -0.31   0     0
 B3   1.846E+03  3.582E+00  19846.   7.000  -3.42  -2.13  -0.20  -0.08  -0.17  -2.29  -1.29  -1.49  -1.21  -1.12  -0.79  -0.70  -0.62  -0.60   0     0
