Computation of isochrones : age = 2.00E+06

Metallicity : Z = 0.02 , no overshooting
 ST       L         R        Teff     Mass    Bol    BC     B-V    V-R    V-I    Mu     Mv     Mb     Mr     Mi     Mj     Mh     Mk     Ml  flag  check

 M6   8.146E-02  1.023E+00   2937.   0.100   7.47  -5.01   2.11   2.31   4.86  15.98  12.48  14.60  10.17   7.62   5.53   4.85   4.45   4.04   0     1
 M6   2.446E-01  1.607E+00   3100.   0.200   6.28  -4.06   1.95   1.86   4.06  13.60  10.34  12.29   8.48   6.29   4.37   3.72   3.36   3.02   0     0
 M4   2.679E-01  1.423E+00   3372.   0.300   6.18  -2.55   1.60   1.23   2.85  11.61   8.73  10.33   7.50   5.88   4.36   3.76   3.48   3.25   0     0
 M2   3.641E-01  1.462E+00   3597.   0.400   5.85  -1.67   1.51   1.00   2.16  10.22   7.51   9.03   6.52   5.35   4.22   3.56   3.35   3.18   0     0
 M1   4.881E-01  1.542E+00   3763.   0.500   5.53  -1.36   1.45   0.93   1.91   9.57   6.89   8.34   5.96   4.98   3.98   3.30   3.12   2.97   0     0
 M0   6.323E-01  1.632E+00   3894.   0.600   5.25  -1.16   1.41   0.89   1.75   9.04   6.40   7.81   5.52   4.65   3.74   3.07   2.91   2.78   0     0
 M0   8.659E-01  1.806E+00   4007.   0.700   4.91  -1.05   1.37   0.86   1.67   8.54   5.95   7.32   5.10   4.29   3.42   2.76   2.61   2.49   0     0
 K7   9.613E-01  1.815E+00   4105.   0.800   4.79  -0.94   1.33   0.82   1.58   8.25   5.73   7.06   4.91   4.15   3.33   2.68   2.55   2.43   0     0
 K7   1.147E+00  1.904E+00   4193.   0.900   4.60  -0.83   1.28   0.79   1.49   7.86   5.44   6.71   4.65   3.94   3.17   2.53   2.41   2.30   0     0
 K6   1.346E+00  1.992E+00   4275.   1.000   4.43  -0.76   1.22   0.75   1.41   7.50   5.19   6.41   4.43   3.78   3.01   2.39   2.27   2.16   0     0
 K6   1.550E+00  2.072E+00   4343.   1.100   4.27  -0.70   1.17   0.72   1.34   7.21   4.98   6.15   4.25   3.64   2.86   2.25   2.14   2.04   0     0
 K5   1.777E+00  2.159E+00   4403.   1.200   4.13  -0.67   1.14   0.71   1.30   6.97   4.80   5.94   4.09   3.50   2.72   2.12   2.02   1.91   0     0
 K5   2.017E+00  2.239E+00   4458.   1.300   3.99  -0.65   1.12   0.69   1.27   6.76   4.64   5.76   3.95   3.37   2.60   2.00   1.90   1.79   0     0
 K5   2.260E+00  2.311E+00   4515.   1.400   3.86  -0.62   1.10   0.67   1.24   6.56   4.49   5.59   3.81   3.25   2.48   1.90   1.80   1.69   0     0
 K5   2.545E+00  2.396E+00   4573.   1.500   3.74  -0.60   1.07   0.66   1.21   6.36   4.33   5.41   3.68   3.13   2.37   1.79   1.69   1.59   0     0
 K4   2.854E+00  2.481E+00   4627.   1.600   3.61  -0.56   1.04   0.64   1.17   6.12   4.17   5.22   3.54   3.01   2.26   1.70   1.60   1.50   0     0
 K4   3.180E+00  2.563E+00   4675.   1.700   3.49  -0.53   1.01   0.61   1.13   5.89   4.02   5.03   3.41   2.90   2.17   1.61   1.52   1.43   0     0
 K4   3.553E+00  2.653E+00   4722.   1.800   3.37  -0.50   0.98   0.59   1.09   5.66   3.87   4.85   3.28   2.78   2.07   1.53   1.43   1.35   0     0
 K3   3.963E+00  2.745E+00   4771.   1.900   3.26  -0.48   0.96   0.58   1.06   5.46   3.73   4.69   3.15   2.67   1.97   1.44   1.35   1.27   0     0
 K3   4.429E+00  2.845E+00   4822.   2.000   3.13  -0.46   0.94   0.56   1.04   5.26   3.59   4.53   3.03   2.55   1.88   1.36   1.27   1.19   0     0
 K2   5.599E+00  3.069E+00   4925.   2.200   2.88  -0.42   0.90   0.53   1.00   4.86   3.30   4.20   2.77   2.30   1.67   1.17   1.08   1.01   0     0
 K1   8.613E+00  3.543E+00   5110.   2.500   2.41  -0.36   0.85   0.49   0.92   4.16   2.77   3.62   2.28   1.85   1.26   0.79   0.71   0.64   0     0
 K0   1.351E+01  4.138E+00   5286.   2.700   1.92  -0.31   0.81   0.46   0.86   3.48   2.23   3.04   1.77   1.37   0.83   0.39   0.31   0.25   0     0
 G1   4.032E+01  5.557E+00   6003.   3.000   0.74  -0.18   0.58   0.35   0.71   1.52   0.92   1.50   0.57   0.21  -0.14  -0.45  -0.50  -0.55   0     0
 B8   1.592E+02  2.780E+00  12046.   3.500  -0.76  -0.81  -0.09  -0.02  -0.09  -0.32   0.05  -0.04   0.07   0.14   0.29   0.33   0.37   0.40   0     0
 B6   2.390E+02  2.374E+00  14396.   4.000  -1.20  -1.30  -0.13  -0.03  -0.09  -0.54   0.10  -0.03   0.13   0.20   0.43   0.49   0.58   0.56   0     0
 B5   5.201E+02  2.660E+00  16488.   5.000  -2.04  -1.62  -0.16  -0.05  -0.12  -1.21  -0.42  -0.57  -0.37  -0.29  -0.03   0.04   0.14   0.12   0     0
 B4   9.903E+02  2.962E+00  18418.   6.000  -2.74  -1.95  -0.19  -0.07  -0.16  -1.72  -0.79  -0.98  -0.72  -0.63  -0.33  -0.25  -0.17  -0.16   0     0
 B3   1.698E+03  3.263E+00  20430.   7.000  -3.32  -2.19  -0.21  -0.08  -0.18  -2.16  -1.14  -1.34  -1.05  -0.96  -0.62  -0.53  -0.44  -0.42   0     0
