Computation of isochrones : age = 1.00E+06

Metallicity : Z = 0.02 , no overshooting
 ST       L         R        Teff     Mass    Bol    BC     B-V    V-R    V-I    Mu     Mv     Mb     Mr     Mi     Mj     Mh     Mk     Ml  flag  check

 M6   8.559E-02  1.055E+00   2928.   0.100   7.42  -5.07   2.12   2.34   4.91  15.99  12.48  14.61  10.15   7.58   5.48   4.79   4.39   3.98   0     1
 M6   3.045E-01  1.832E+00   3075.   0.200   6.04  -4.21   1.98   1.93   4.18  13.54  10.25  12.23   8.32   6.07   4.13   3.47   3.11   2.76   0     0
 M5   6.887E-01  2.310E+00   3360.   0.300   5.15  -2.62   1.62   1.25   2.90  10.67   7.77   9.39   6.52   4.87   3.33   2.73   2.45   2.21   0     0
 M2   7.864E-01  2.156E+00   3594.   0.400   5.01  -1.67   1.51   1.00   2.17   9.39   6.68   8.20   5.68   4.52   3.38   2.72   2.51   2.34   0     0
 M1   9.288E-01  2.125E+00   3771.   0.500   4.83  -1.35   1.45   0.92   1.90   8.85   6.18   7.63   5.25   4.28   3.28   2.60   2.42   2.28   0     0
 M0   1.153E+00  2.199E+00   3909.   0.600   4.60  -1.14   1.40   0.88   1.74   8.36   5.74   7.14   4.86   4.00   3.09   2.42   2.26   2.13   0     0
 M0   1.720E+00  2.536E+00   4024.   0.700   4.16  -1.03   1.36   0.85   1.65   7.77   5.19   6.56   4.34   3.54   2.68   2.02   1.87   1.75   0     0
 K7   1.685E+00  2.390E+00   4125.   0.800   4.18  -0.92   1.32   0.82   1.56   7.59   5.10   6.42   4.28   3.54   2.73   2.08   1.95   1.84   0     0
 K6   1.993E+00  2.498E+00   4209.   0.900   4.00  -0.82   1.27   0.78   1.48   7.22   4.82   6.08   4.04   3.34   2.57   1.94   1.82   1.71   0     0
 K6   2.335E+00  2.615E+00   4278.   1.000   3.83  -0.76   1.22   0.75   1.40   6.90   4.59   5.80   3.84   3.18   2.41   1.79   1.67   1.57   0     0
 K6   2.652E+00  2.707E+00   4338.   1.100   3.69  -0.71   1.18   0.73   1.34   6.63   4.40   5.57   3.67   3.06   2.28   1.67   1.56   1.45   0     0
 K5   3.024E+00  2.817E+00   4396.   1.200   3.55  -0.68   1.15   0.71   1.30   6.40   4.22   5.37   3.52   2.92   2.14   1.54   1.44   1.33   0     0
 K5   3.406E+00  2.923E+00   4447.   1.300   3.42  -0.65   1.13   0.69   1.28   6.21   4.07   5.20   3.38   2.80   2.03   1.43   1.33   1.22   0     0
 K5   3.744E+00  3.000E+00   4498.   1.400   3.32  -0.63   1.10   0.68   1.25   6.04   3.95   5.05   3.27   2.70   1.93   1.34   1.24   1.14   0     0
 K5   4.169E+00  3.108E+00   4536.   1.500   3.20  -0.61   1.09   0.67   1.23   5.87   3.81   4.90   3.15   2.59   1.82   1.24   1.14   1.04   0     0
 K5   4.599E+00  3.212E+00   4579.   1.600   3.09  -0.59   1.07   0.66   1.20   5.71   3.69   4.76   3.03   2.49   1.72   1.15   1.05   0.95   0     0
 K4   5.006E+00  3.297E+00   4615.   1.700   3.00  -0.57   1.05   0.64   1.18   5.54   3.57   4.62   2.93   2.40   1.65   1.08   0.98   0.88   0     0
 K4   5.485E+00  3.402E+00   4652.   1.800   2.90  -0.55   1.03   0.62   1.14   5.35   3.45   4.47   2.82   2.30   1.56   1.00   0.91   0.81   0     0
 K4   5.957E+00  3.497E+00   4683.   1.900   2.81  -0.52   1.01   0.61   1.12   5.19   3.34   4.34   2.72   2.22   1.49   0.94   0.84   0.75   0     0
 K4   6.474E+00  3.599E+00   4710.   2.000   2.72  -0.50   0.99   0.60   1.10   5.04   3.23   4.22   2.63   2.13   1.41   0.87   0.77   0.68   0     0
 K3   7.596E+00  3.807E+00   4771.   2.200   2.55  -0.48   0.96   0.58   1.06   4.75   3.02   3.98   2.45   1.96   1.27   0.74   0.64   0.56   0     0
 K3   9.585E+00  4.130E+00   4853.   2.500   2.30  -0.45   0.92   0.55   1.03   4.38   2.74   3.67   2.19   1.72   1.05   0.54   0.45   0.37   0     0
 K2   1.127E+01  4.379E+00   4911.   2.700   2.12  -0.43   0.90   0.54   1.00   4.12   2.55   3.45   2.01   1.54   0.90   0.40   0.31   0.24   0     0
 K2   1.485E+01  4.833E+00   5004.   3.000   1.82  -0.39   0.87   0.52   0.96   3.70   2.21   3.09   1.70   1.25   0.63   0.15   0.06  -0.01   0     0
 K0   3.436E+01  6.536E+00   5311.   3.500   0.91  -0.30   0.80   0.46   0.85   2.44   1.21   2.02   0.76   0.36  -0.17  -0.62  -0.69  -0.75   0     0
 F2   1.295E+02  7.346E+00   6999.   4.000  -0.53  -0.10   0.34   0.22   0.45  -0.07  -0.43  -0.09  -0.65  -0.87  -1.03  -1.18  -1.21  -1.24   0     0
 B5   5.738E+02  2.922E+00  16151.   5.000  -2.15  -1.57  -0.15  -0.04  -0.12  -1.35  -0.57  -0.73  -0.53  -0.45  -0.20  -0.13  -0.03  -0.05   0     0
 B4   9.890E+02  2.940E+00  18490.   6.000  -2.74  -1.96  -0.19  -0.07  -0.16  -1.72  -0.78  -0.96  -0.71  -0.62  -0.32  -0.24  -0.15  -0.14   0     0
 B3   1.687E+03  3.220E+00  20527.   7.000  -3.32  -2.20  -0.21  -0.08  -0.18  -2.14  -1.12  -1.33  -1.04  -0.94  -0.60  -0.51  -0.42  -0.40   0     0
